comentario,categoria
Ótimo trabalho!,aceitável
Parabéns pelo seu esforço!,aceitável
"Continue assim, você está indo muito bem.",aceitável
Você é um idiota.,ofensivo
Ninguém gosta de você.,ofensivo
Seu trabalho é péssimo.,ofensivo
Vocês deveriam ser todos exterminados.,discurso de ódio
O mundo seria melhor sem essa raça.,discurso de ódio
Esses imigrantes só trazem problemas.,discurso de ódio
"Continue assim, você está indo muito bem.",aceitável
Seu trabalho é péssimo.,ofensivo
O mundo seria melhor sem essa raça.,discurso de ódio
"Continue assim, você está indo muito bem.",aceitável
Ninguém gosta de você.,ofensivo
Esses imigrantes só trazem problemas.,discurso de ódio
Parabéns pelo seu esforço!,aceitável
Seu trabalho é péssimo.,ofensivo
Esses imigrantes só trazem problemas.,discurso de ódio
Parabéns pelo seu esforço!,aceitável
Seu trabalho é péssimo.,ofensivo
O mundo seria melhor sem essa raça.,discurso de ódio
"Continue assim, você está indo muito bem.",aceitável
Seu trabalho é péssimo.,ofensivo
Esses imigrantes só trazem problemas.,discurso de ódio
Parabéns pelo seu esforço!,aceitável
Seu trabalho é péssimo.,ofensivo
Esses imigrantes só trazem problemas.,discurso de ódio
"Continue assim, você está indo muito bem.",aceitável
Ninguém gosta de você.,ofensivo
Vocês deveriam ser todos exterminados.,discurso de ódio
Parabéns pelo seu esforço!,aceitável
Você é um idiota.,ofensivo
Esses imigrantes só trazem problemas.,discurso de ódio
"Continue assim, você está indo muito bem.",aceitável
Seu trabalho é péssimo.,ofensivo
Esses imigrantes só trazem problemas.,discurso de ódio
Ótimo trabalho!,aceitável
Seu trabalho é péssimo.,ofensivo
O mundo seria melhor sem essa raça.,discurso de ódio
Parabéns pelo seu esforço!,aceitável
Seu trabalho é péssimo.,ofensivo
Vocês deveriam ser todos exterminados.,discurso de ódio
Parabéns pelo seu esforço!,aceitável
Ninguém gosta de você.,ofensivo
Vocês deveriam ser todos exterminados.,discurso de ódio
Parabéns pelo seu esforço!,aceitável
Ninguém gosta de você.,ofensivo
Esses imigrantes só trazem problemas.,discurso de ódio
"Continue assim, você está indo muito bem.",aceitável
Você é um idiota.,ofensivo
Vocês deveriam ser todos exterminados.,discurso de ódio
Parabéns pelo seu esforço!,aceitável
Seu trabalho é péssimo.,ofensivo
Esses imigrantes só trazem problemas.,discurso de ódio
Ótimo trabalho!,aceitável
Seu trabalho é péssimo.,ofensivo
Esses imigrantes só trazem problemas.,discurso de ódio
Parabéns pelo seu esforço!,aceitável
Seu trabalho é péssimo.,ofensivo
O mundo seria melhor sem essa raça.,discurso de ódio
Parabéns pelo seu esforço!,aceitável
Seu trabalho é péssimo.,ofensivo
O mundo seria melhor sem essa raça.,discurso de ódio
Parabéns pelo seu esforço!,aceitável
Você é um idiota.,ofensivo
Vocês deveriam ser todos exterminados.,discurso de ódio
Parabéns pelo seu esforço!,aceitável
Ninguém gosta de você.,ofensivo
O mundo seria melhor sem essa raça.,discurso de ódio
Parabéns pelo seu esforço!,aceitável
Seu trabalho é péssimo.,ofensivo
Vocês deveriam ser todos exterminados.,discurso de ódio
Parabéns pelo seu esforço!,aceitável
Seu trabalho é péssimo.,ofensivo
Vocês deveriam ser todos exterminados.,discurso de ódio
"Continue assim, você está indo muito bem.",aceitável
Ninguém gosta de você.,ofensivo
Esses imigrantes só trazem problemas.,discurso de ódio
Ótimo trabalho!,aceitável
Seu trabalho é péssimo.,ofensivo
O mundo seria melhor sem essa raça.,discurso de ódio
Parabéns pelo seu esforço!,aceitável
Seu trabalho é péssimo.,ofensivo
O mundo seria melhor sem essa raça.,discurso de ódio
Parabéns pelo seu esforço!,aceitável
Você é um idiota.,ofensivo
Vocês deveriam ser todos exterminados.,discurso de ódio
Parabéns pelo seu esforço!,aceitável
Seu trabalho é péssimo.,ofensivo
Esses imigrantes só trazem problemas.,discurso de ódio
"Continue assim, você está indo muito bem.",aceitável
Você é um idiota.,ofensivo
O mundo seria melhor sem essa raça.,discurso de ódio
Ótimo trabalho!,aceitável
Você é um idiota.,ofensivo
Esses imigrantes só trazem problemas.,discurso de ódio
"Continue assim, você está indo muito bem.",aceitável
Seu trabalho é péssimo.,ofensivo
Vocês deveriam ser todos exterminados.,discurso de ódio
Ótimo trabalho!,aceitável
Seu trabalho é péssimo.,ofensivo
O mundo seria melhor sem essa raça.,discurso de ódio
Parabéns pelo seu esforço!,aceitável
Você é um idiota.,ofensivo
O mundo seria melhor sem essa raça.,discurso de ódio
"Continue assim, você está indo muito bem.",aceitável
Você é um idiota.,ofensivo
Esses imigrantes só trazem problemas.,discurso de ódio
"Continue assim, você está indo muito bem.",aceitável
Seu trabalho é péssimo.,ofensivo
O mundo seria melhor sem essa raça.,discurso de ódio
"Continue assim, você está indo muito bem.",aceitável
Você é um idiota.,ofensivo
O mundo seria melhor sem essa raça.,discurso de ódio
Ótimo trabalho!,aceitável
Seu trabalho é péssimo.,ofensivo
Esses imigrantes só trazem problemas.,discurso de ódio
Parabéns pelo seu esforço!,aceitável
Você é um idiota.,ofensivo
Esses imigrantes só trazem problemas.,discurso de ódio
Parabéns pelo seu esforço!,aceitável
Ninguém gosta de você.,ofensivo
Esses imigrantes só trazem problemas.,discurso de ódio
Parabéns pelo seu esforço!,aceitável
Ninguém gosta de você.,ofensivo
Vocês deveriam ser todos exterminados.,discurso de ódio
Parabéns pelo seu esforço!,aceitável
Você é um idiota.,ofensivo
O mundo seria melhor sem essa raça.,discurso de ódio
Parabéns pelo seu esforço!,aceitável
Você é um idiota.,ofensivo
Esses imigrantes só trazem problemas.,discurso de ódio
Ótimo trabalho!,aceitável
Ninguém gosta de você.,ofensivo
Vocês deveriam ser todos exterminados.,discurso de ódio
Parabéns pelo seu esforço!,aceitável
Ninguém gosta de você.,ofensivo
O mundo seria melhor sem essa raça.,discurso de ódio
"Continue assim, você está indo muito bem.",aceitável
Seu trabalho é péssimo.,ofensivo
Vocês deveriam ser todos exterminados.,discurso de ódio
Parabéns pelo seu esforço!,aceitável
Você é um idiota.,ofensivo
O mundo seria melhor sem essa raça.,discurso de ódio
Parabéns pelo seu esforço!,aceitável
Você é um idiota.,ofensivo
Esses imigrantes só trazem problemas.,discurso de ódio
Ótimo trabalho!,aceitável
Ninguém gosta de você.,ofensivo
Esses imigrantes só trazem problemas.,discurso de ódio
Ótimo trabalho!,aceitável
Ninguém gosta de você.,ofensivo
Vocês deveriam ser todos exterminados.,discurso de ódio
Ótimo trabalho!,aceitável
Seu trabalho é péssimo.,ofensivo
O mundo seria melhor sem essa raça.,discurso de ódio
Parabéns pelo seu esforço!,aceitável
Você é um idiota.,ofensivo
Esses imigrantes só trazem problemas.,discurso de ódio
Parabéns pelo seu esforço!,aceitável
Seu trabalho é péssimo.,ofensivo
O mundo seria melhor sem essa raça.,discurso de ódio
Parabéns pelo seu esforço!,aceitável
Ninguém gosta de você.,ofensivo
Esses imigrantes só trazem problemas.,discurso de ódio
Ótimo trabalho!,aceitável
Ninguém gosta de você.,ofensivo
O mundo seria melhor sem essa raça.,discurso de ódio
Ótimo trabalho!,aceitável
Ninguém gosta de você.,ofensivo
O mundo seria melhor sem essa raça.,discurso de ódio
"Continue assim, você está indo muito bem.",aceitável
Você é um idiota.,ofensivo
O mundo seria melhor sem essa raça.,discurso de ódio
"Continue assim, você está indo muito bem.",aceitável
Seu trabalho é péssimo.,ofensivo
O mundo seria melhor sem essa raça.,discurso de ódio
"Continue assim, você está indo muito bem.",aceitável
Você é um idiota.,ofensivo
Esses imigrantes só trazem problemas.,discurso de ódio
Ótimo trabalho!,aceitável
Seu trabalho é péssimo.,ofensivo
Vocês deveriam ser todos exterminados.,discurso de ódio
Parabéns pelo seu esforço!,aceitável
Seu trabalho é péssimo.,ofensivo
Vocês deveriam ser todos exterminados.,discurso de ódio
Ótimo trabalho!,aceitável
Você é um idiota.,ofensivo
Esses imigrantes só trazem problemas.,discurso de ódio
"Continue assim, você está indo muito bem.",aceitável
Você é um idiota.,ofensivo
O mundo seria melhor sem essa raça.,discurso de ódio
"Continue assim, você está indo muito bem.",aceitável
Ninguém gosta de você.,ofensivo
Vocês deveriam ser todos exterminados.,discurso de ódio
Parabéns pelo seu esforço!,aceitável
Ninguém gosta de você.,ofensivo
O mundo seria melhor sem essa raça.,discurso de ódio
Parabéns pelo seu esforço!,aceitável
Você é um idiota.,ofensivo
O mundo seria melhor sem essa raça.,discurso de ódio
Parabéns pelo seu esforço!,aceitável
Seu trabalho é péssimo.,ofensivo
Esses imigrantes só trazem problemas.,discurso de ódio
Parabéns pelo seu esforço!,aceitável
Você é um idiota.,ofensivo
O mundo seria melhor sem essa raça.,discurso de ódio
Ótimo trabalho!,aceitável
Seu trabalho é péssimo.,ofensivo
O mundo seria melhor sem essa raça.,discurso de ódio
Ótimo trabalho!,aceitável
Ninguém gosta de você.,ofensivo
Vocês deveriam ser todos exterminados.,discurso de ódio
Ótimo trabalho!,aceitável
Ninguém gosta de você.,ofensivo
Esses imigrantes só trazem problemas.,discurso de ódio
"Continue assim, você está indo muito bem.",aceitável
Ninguém gosta de você.,ofensivo
Vocês deveriam ser todos exterminados.,discurso de ódio
"Continue assim, você está indo muito bem.",aceitável
Ninguém gosta de você.,ofensivo
Esses imigrantes só trazem problemas.,discurso de ódio
Ótimo trabalho!,aceitável
Ninguém gosta de você.,ofensivo
Esses imigrantes só trazem problemas.,discurso de ódio
Parabéns pelo seu esforço!,aceitável
Ninguém gosta de você.,ofensivo
Vocês deveriam ser todos exterminados.,discurso de ódio
"Continue assim, você está indo muito bem.",aceitável
Seu trabalho é péssimo.,ofensivo
Esses imigrantes só trazem problemas.,discurso de ódio
"Continue assim, você está indo muito bem.",aceitável
Ninguém gosta de você.,ofensivo
Esses imigrantes só trazem problemas.,discurso de ódio
Ótimo trabalho!,aceitável
Seu trabalho é péssimo.,ofensivo
Esses imigrantes só trazem problemas.,discurso de ódio
Ótimo trabalho!,aceitável
Ninguém gosta de você.,ofensivo
Vocês deveriam ser todos exterminados.,discurso de ódio
Parabéns pelo seu esforço!,aceitável
Seu trabalho é péssimo.,ofensivo
O mundo seria melhor sem essa raça.,discurso de ódio
Ótimo trabalho!,aceitável
Ninguém gosta de você.,ofensivo
Vocês deveriam ser todos exterminados.,discurso de ódio
Ótimo trabalho!,aceitável
Você é um idiota.,ofensivo
O mundo seria melhor sem essa raça.,discurso de ódio
Parabéns pelo seu esforço!,aceitável
Ninguém gosta de você.,ofensivo
Esses imigrantes só trazem problemas.,discurso de ódio
"Continue assim, você está indo muito bem.",aceitável
Você é um idiota.,ofensivo
Esses imigrantes só trazem problemas.,discurso de ódio
Ótimo trabalho!,aceitável
Você é um idiota.,ofensivo
O mundo seria melhor sem essa raça.,discurso de ódio
Parabéns pelo seu esforço!,aceitável
Você é um idiota.,ofensivo
Vocês deveriam ser todos exterminados.,discurso de ódio
Ótimo trabalho!,aceitável
Você é um idiota.,ofensivo
O mundo seria melhor sem essa raça.,discurso de ódio
"Continue assim, você está indo muito bem.",aceitável
Seu trabalho é péssimo.,ofensivo
O mundo seria melhor sem essa raça.,discurso de ódio
"Continue assim, você está indo muito bem.",aceitável
Seu trabalho é péssimo.,ofensivo
Vocês deveriam ser todos exterminados.,discurso de ódio
Parabéns pelo seu esforço!,aceitável
Seu trabalho é péssimo.,ofensivo
Vocês deveriam ser todos exterminados.,discurso de ódio
Ótimo trabalho!,aceitável
Você é um idiota.,ofensivo
O mundo seria melhor sem essa raça.,discurso de ódio
Ótimo trabalho!,aceitável
Ninguém gosta de você.,ofensivo
Esses imigrantes só trazem problemas.,discurso de ódio
Ótimo trabalho!,aceitável
Ninguém gosta de você.,ofensivo
Esses imigrantes só trazem problemas.,discurso de ódio
"Continue assim, você está indo muito bem.",aceitável
Ninguém gosta de você.,ofensivo
Esses imigrantes só trazem problemas.,discurso de ódio
"Continue assim, você está indo muito bem.",aceitável
Seu trabalho é péssimo.,ofensivo
Vocês deveriam ser todos exterminados.,discurso de ódio
Ótimo trabalho!,aceitável
Seu trabalho é péssimo.,ofensivo
Esses imigrantes só trazem problemas.,discurso de ódio
Ótimo trabalho!,aceitável
Seu trabalho é péssimo.,ofensivo
O mundo seria melhor sem essa raça.,discurso de ódio
Parabéns pelo seu esforço!,aceitável
Seu trabalho é péssimo.,ofensivo
Vocês deveriam ser todos exterminados.,discurso de ódio
"Continue assim, você está indo muito bem.",aceitável
Seu trabalho é péssimo.,ofensivo
O mundo seria melhor sem essa raça.,discurso de ódio
Parabéns pelo seu esforço!,aceitável
Ninguém gosta de você.,ofensivo
Esses imigrantes só trazem problemas.,discurso de ódio
Ótimo trabalho!,aceitável
Você é um idiota.,ofensivo
Esses imigrantes só trazem problemas.,discurso de ódio
Parabéns pelo seu esforço!,aceitável
Você é um idiota.,ofensivo
Vocês deveriam ser todos exterminados.,discurso de ódio
Cuzão,ofensivo
Pau no Cu,ofensivo
Filho da Puta,ofensivo
Amor,aceitável
